#         t          x          y          z         vx         vy         vz
      0.000   -377.690    611.450   -284.630     72.580    -72.710     49.860
      0.071   -372.500    606.250   -281.070     73.110    -74.220     50.420
      0.143   -367.150    600.900   -277.590     75.390    -76.860     50.590
      0.214   -361.740    595.420   -274.020     75.320    -78.630     53.100
      0.286   -356.460    589.870   -270.480     72.320    -81.240     51.850
      0.357   -351.270    584.160   -266.970     69.630    -81.060     49.350
      0.429   -346.230    578.310   -263.540     67.930    -82.300     47.160
      0.500   -341.310    572.330   -260.220     69.450    -82.630     43.290
      0.571   -336.500    566.240   -256.840     66.220    -84.580     45.580
      0.643   -331.980    560.210   -253.490     62.750    -83.520     44.070
      0.714   -327.770    554.330   -250.340     58.690    -81.320     42.010
      0.786   -323.810    548.560   -247.320     52.150    -81.420     43.380
      0.857   -320.190    542.980   -244.380     46.350    -75.740     42.000
      0.929   -316.810    537.670   -241.480     45.790    -71.330     39.800
      1.000   -313.560    532.560   -238.370     45.210    -68.610     43.080
      1.071   -310.400    527.670   -235.080     42.960    -66.800     48.200
      1.143   -307.160    523.020   -231.570     45.310    -64.020     49.850
      1.214   -303.860    518.510   -227.890     47.990    -63.350     54.080
      1.286   -300.420    514.050   -223.930     48.560    -62.310     56.780
      1.357   -296.790    509.690   -219.820     52.680    -61.410     59.180
      1.429   -292.990    505.280   -215.510     55.660    -62.300     62.080
      1.500   -288.910    500.830   -211.040     57.540    -62.440     62.280
      1.571   -284.680    496.350   -206.540     60.370    -62.970     64.080
      1.643   -280.200    491.770   -201.900     63.960    -63.630     63.930
      1.714   -275.500    487.020   -197.120     70.390    -68.520     66.220
      1.786   -270.550    482.130   -192.180     73.320    -68.520     67.440
      1.857   -265.400    477.220   -187.240     75.780    -70.480     70.330
      1.929   -260.030    472.200   -182.240     79.220    -73.630     71.510
      2.000   -254.500    467.040   -177.220     78.880    -73.750     71.020
      2.071   -248.760    461.690   -172.170     83.170    -77.380     71.830
      2.143   -242.760    456.060   -167.000     84.540    -80.290     72.460
      2.214   -236.570    450.220   -161.760     86.410    -81.680     72.850
      2.286   -230.330    444.250   -156.410     89.220    -84.300     72.940
      2.357   -223.970    438.150   -151.090     92.660    -86.950     71.150
      2.429   -217.600    431.750   -145.780     89.120    -91.510     73.090
      2.500   -211.230    425.120   -140.480     89.890    -94.130     73.370
      2.571   -204.720    418.270   -135.120     92.900    -96.480     73.850
      2.643   -198.150    411.270   -129.790     90.790    -98.290     74.630
      2.714   -191.490    404.240   -124.450     94.460    -98.630     72.910
      2.786   -184.680    397.010   -119.080     94.300   -100.630     75.060
      2.857   -177.780    389.620   -113.610     96.760   -104.750     77.050
      2.929   -170.790    381.980   -107.980     96.650   -105.780     77.820
      3.000   -163.790    374.090   -102.250     96.580   -111.930     80.350
      3.071   -156.710    365.910    -96.350     98.870   -112.420     82.120
      3.143   -149.410    357.510    -90.380    101.610   -117.510     82.870
