#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.060   -102.172   -117.984    -20.767    182.447    102.698
      0.200   -102.653    -83.487   -107.177    -11.103    191.254    113.424
      0.300   -103.146    -63.919    -95.225      1.248    200.100    125.631
      0.400   -102.221    -43.490    -81.967     17.247    208.468    139.516
      0.500    -99.450    -22.302    -67.236     38.185    215.299    155.121
      0.600    -94.263     -0.610    -50.880     65.561    218.537    171.981
      0.700    -85.968     21.046    -32.862    100.336    214.594    188.388
      0.800    -73.914     41.713    -13.421    140.738    198.734    200.440
      0.900    -57.900     60.087      6.743    179.549    168.761    202.835
      1.000    -38.580     75.052     26.535    206.848    130.524    193.004
      1.100    -17.252     86.247     44.996    219.703     93.386    176.223
      1.200      4.825     94.037     61.691    221.838     62.408    157.677
      1.300     26.810     99.065     76.584    217.866     38.164    140.173
      1.400     48.248    101.949     89.824    210.898     19.501    124.623
      1.500     68.926    103.177    101.609    202.657      5.074    111.087
      1.600     88.760    103.121    112.131    194.030     -6.211     99.341
      1.700    107.735    102.052    121.553    185.458    -15.162     89.106
      1.800    125.865    100.176    130.015    177.147    -22.357     80.123
      1.900    143.182     97.648    137.630    169.186    -28.211     72.177
      2.000    159.721     94.586    144.493    161.603    -33.023     65.092
      2.100    175.521     91.084    150.684    154.395    -37.015     58.728
      2.200    190.618     87.216    156.269    147.545    -40.351     52.970
      2.300    205.047     83.040    161.304    141.031    -43.154     47.727
      2.400    218.840     78.607    165.836    134.825    -45.521     42.926
      2.500    232.026     73.954    169.908    128.902    -47.525     38.505
      2.600    244.633     69.117    173.554    123.238    -49.225     34.414
      2.700    256.685     64.122    176.805    117.811    -50.667     30.613
      2.800    268.206     58.995    179.689    112.600    -51.889     27.066
      2.900    279.215     53.754    182.230    107.585    -52.922     23.743
      3.000    289.732     48.418    184.448    102.751    -53.790     20.621
      3.100    299.774     43.003    186.363     98.080    -54.515     17.677
      3.200    309.356     37.522    187.991     93.561    -55.112     14.894
      3.300    318.493     31.986    189.349     89.179    -55.597     12.255
      3.400    327.198     26.407    190.449     84.924    -55.982      9.747
      3.500    335.483     20.794    191.304     80.785    -56.277      7.358
      3.600    343.360     15.156    191.926     76.752    -56.490      5.077
      3.700    350.839      9.500    192.324     72.818    -56.630      2.895
      3.800    357.928      3.833    192.509     68.974    -56.703      0.804
      3.900    364.638     -1.838    192.489     65.213    -56.713     -1.204
      4.000    370.975     -7.506    192.272     61.528    -56.666     -3.135
      4.100    376.947    -13.168    191.866     57.914    -56.566     -4.995
      4.200    382.561    -18.817    191.277     54.364    -56.417     -6.789
      4.300    387.822    -24.449    190.511     50.873    -56.221     -8.523
      4.400    392.738    -30.059    189.575     47.437    -55.981    -10.199
      4.500    397.312    -35.643    188.474     44.050    -55.699    -11.823
      4.600    401.550    -41.197    187.213     40.709    -55.378    -13.397
