#         t          x          y          z         vx         vy         vz
      0.000   -377.720    611.460   -284.630     73.700    -72.080     49.140
      0.071   -372.450    606.260   -281.120     74.130    -75.740     53.130
      0.143   -367.090    600.880   -277.610     76.820    -78.080     51.180
      0.214   -360.890    594.790   -273.760     72.660    -79.120     56.090
      0.286   -356.430    589.850   -270.470     70.830    -80.030     52.040
      0.357   -351.290    584.190   -267.010     69.450    -80.660     49.040
      0.429   -346.270    578.330   -263.640     67.370    -82.160     46.950
      0.500   -341.640    572.590   -260.520     69.750    -82.590     42.860
      0.571   -336.910    566.740   -257.360     69.210    -83.750     42.920
      0.643   -331.970    560.200   -253.500     62.570    -83.230     44.020
      0.714   -327.870    554.360   -250.300     57.310    -81.040     43.160
      0.786   -324.180    548.900   -247.550     54.240    -79.860     40.400
      0.857   -320.480    543.090   -244.370     46.430    -74.910     41.120
      0.929   -317.370    537.850   -241.350     46.720    -70.110     37.930
      1.000   -314.260    532.780   -238.200     46.340    -67.570     40.530
      1.071   -310.430    527.680   -235.060     41.680    -64.290     47.820
      1.143   -307.170    523.020   -231.580     46.490    -65.030     49.900
      1.214   -303.870    518.490   -227.860     47.800    -62.790     53.960
      1.286   -300.430    514.050   -223.930     48.980    -61.210     56.890
      1.357   -296.790    509.700   -219.820     51.070    -60.840     59.810
      1.429   -292.990    505.280   -215.510     54.400    -63.260     63.690
      1.500   -288.920    500.820   -211.030     58.130    -62.680     63.630
      1.571   -284.690    496.340   -206.510     61.130    -62.310     63.350
      1.643   -280.230    491.740   -201.840     64.340    -64.030     64.830
      1.714   -275.540    486.980   -197.010     68.980    -68.010     66.990
      1.786   -270.610    482.130   -192.120     73.740    -69.430     67.460
      1.857   -265.430    477.220   -187.240     76.970    -70.890     68.530
      1.929   -260.010    472.160   -182.200     77.130    -73.260     72.830
      2.000   -254.470    466.990   -177.170     78.650    -74.000     72.410
      2.071   -248.030    461.330   -172.090     81.480    -78.540     74.750
      2.143   -242.300    455.780   -166.850     83.650    -79.580     73.910
      2.214   -236.270    450.070   -161.740     87.160    -82.640     74.600
      2.286   -230.050    444.380   -156.670     90.020    -85.250     73.890
      2.357   -223.600    438.300   -151.470     93.910    -88.520     72.580
      2.429   -217.600    431.700   -145.720     88.480    -90.450     71.390
      2.500   -211.220    425.110   -140.470     90.390    -94.140     72.700
      2.571   -204.680    418.260   -135.180     92.880    -97.870     74.610
      2.643   -198.090    411.280   -129.830     92.190    -97.930     75.220
      2.714   -191.470    404.230   -124.470     93.240    -98.770     72.590
      2.786   -184.730    397.020   -119.050     93.850   -101.050     75.690
      2.857   -177.850    389.610   -113.550     94.730   -104.070     78.780
      2.929   -170.910    382.020   -107.940     95.990   -106.150     77.070
      3.000   -163.840    374.140   -102.270     98.220   -112.110     79.090
      3.071   -156.640    365.890    -96.410     99.340   -114.270     83.170
      3.143   -149.350    357.470    -90.370    101.560   -119.300     83.500
      3.214   -141.990    348.770    -84.320    103.460   -123.640     84.360
      3.286   -134.510    339.700    -78.120    106.040   -128.510     86.990
      3.357   -126.850    330.190    -71.790    112.030   -135.660     88.990
      3.429   -119.400    320.700    -65.400    116.790   -143.560     83.910
      3.500   -110.900    309.770    -59.100    117.010   -156.810     86.900
      3.571   -102.320    297.910    -52.810    117.820   -169.330     89.890
      3.643    -93.500    285.070    -46.320    118.480   -181.860     86.620
      3.714    -84.660    271.340    -40.270    122.290   -198.320     80.920
      3.786    -75.750    256.170    -34.900    122.600   -225.320     71.540
      3.857    -66.690    238.970    -30.630    122.300   -259.440     52.500
      3.929    -58.650    219.100    -28.090     94.360   -298.670     13.220
      4.000    -53.260    197.770    -30.220     44.880   -288.020    -51.020
      4.071    -51.630    179.700    -35.020     18.220   -232.560    -68.580
      4.143    -50.620    165.370    -40.020     21.640   -188.310    -57.870
      4.214    -49.480    153.330    -43.610     24.800   -159.100    -41.580
      4.286    -48.080    142.950    -46.050     27.590   -136.280    -26.580
      4.357    -46.660    133.970    -47.270     26.240   -116.260    -14.130
      4.429    -45.570    126.340    -47.900     22.430    -98.940     -6.580
      4.500    -44.470    119.920    -48.200     23.750    -83.200     -1.220
      4.571    -43.220    114.460    -48.200     19.690    -68.690      5.060
      4.643    -41.850    108.950    -46.740     15.360    -54.180      8.600
      4.714    -40.840    105.470    -45.990     14.100    -43.710     15.180
      4.786    -39.770    102.840    -45.060     13.100    -33.110     15.070
      4.857    -38.740    101.020    -43.980     14.890    -20.390     16.400
      4.929    -37.590     99.940    -42.850     17.970    -10.580     16.340
      5.000    -36.240     99.470    -41.600     19.120     -3.950     21.020
      5.071    -34.720     99.550    -40.100     20.230      4.260     25.990
      5.143    -33.040    100.190    -38.320     24.390     13.520     29.410
      5.214    -31.240    101.380    -36.190     26.840     19.460     33.910
      5.286    -29.350    103.110    -33.730     26.260     28.380     38.270
      5.357    -27.240    105.480    -31.050     30.360     37.850     42.270
      5.429    -24.920    108.540    -28.020     34.490     46.990     46.780
      5.500    -22.480    112.260    -24.610     38.400     56.030     51.200
      5.571    -19.760    116.880    -20.740     42.910     70.440     57.840
      5.643    -16.700    122.580    -16.370     48.480     86.340     70.170
      5.714    -13.020    129.640    -11.300     60.600    110.490     79.550
      5.786     -8.240    138.700     -5.120     81.610    146.820     98.930
      5.857     -0.360    150.750      3.210    195.680    147.730    135.230
      5.929     10.580    156.800      9.150    119.640     19.200     63.670
      6.000     17.670    157.890     12.170     50.690     -7.300     38.860
      6.071     21.870    156.320     14.050      9.290    -20.790     20.650
      6.143     23.920    152.800     15.390    -16.590    -52.560      8.120
      6.214     24.050    147.040     16.140    -54.730   -116.710    -21.470
      6.286     19.140    140.280     14.270     54.400     -3.190     28.230
      6.357     22.920    139.880     18.500     33.090     -3.990     34.430
      6.429     25.450    138.330     20.330     30.580    -26.070     32.760
      6.500     28.550    136.580     21.890     36.860    -33.800     34.090
      6.571     31.640    134.880     24.050     38.700    -27.160     44.270
      6.643     33.760    132.920     27.290     39.420    -24.400     41.580
      6.714     36.880    131.140     29.800     42.430    -26.770     41.010
      6.786     40.260    129.170     32.170     38.270    -33.950     31.910
      6.857     41.840    127.630     33.660     40.420    -33.930     26.930
      6.929     44.460    125.550     36.010     41.440    -35.100     26.970
      7.000     47.000    123.200     38.240     37.730    -34.120     27.420
      7.071     49.430    120.730     40.120     34.250    -34.500     13.490
      7.143     51.920    118.290     41.800     34.240    -29.860     14.330
      7.214     54.540    116.080     43.540     35.250    -28.460     14.350
      7.286     57.140    114.120     45.260     35.840    -27.320     14.390
      7.357     59.710    112.320     46.960     36.790    -21.640     23.210
      7.429     62.210    110.680     48.560     33.670    -24.120     18.430
      7.500     64.820    109.040     50.120     35.990    -24.220     21.610
      7.571     67.410    107.490     51.720     36.450    -21.860     22.850
      7.643     70.050    106.010     53.180     34.830    -21.960     19.630
      7.714     72.680    104.480     54.620     30.860    -20.930     22.610
      7.786     75.290    103.130     56.030     32.520    -16.170     20.120
      7.857     78.020    101.840     57.460     32.310    -20.290     19.220
      7.929     80.700    100.500     59.010     32.230    -19.030     17.490
      8.000     83.360     99.130     60.620     35.660    -18.310     19.630
      8.071     85.840     97.810     62.420     34.050    -18.520     22.690
      8.143     88.190     96.570     64.350     34.560    -12.830     25.600
      8.214     90.450     95.440     66.260     33.240    -17.300     26.740
      8.286     92.640     94.110     68.200     33.070    -20.660     30.010
      8.357     94.940     92.710     70.250     37.190    -20.780     34.750
      8.429     97.370     91.150     72.350     36.470    -23.750     32.130
      8.500     99.890     89.360     74.350     36.790    -28.280     31.900
      8.571    102.490     87.410     76.320     35.250    -28.080     29.880
      8.643    105.050     85.320     78.160     32.480    -33.160     23.410
      8.714    107.440     83.200     80.010     30.560    -29.990     24.530
      8.786    109.850     81.260     81.890     34.140    -26.500     25.900
      8.857    112.200     79.360     83.700     32.710    -27.630     20.250
      8.929    114.360     77.410     85.330     30.340    -26.790     19.770
      9.000    116.480     75.450     86.940     32.040    -26.740     19.150
      9.071    118.610     73.400     88.600     30.460    -23.760     20.850
      9.143    120.620     71.340     90.250     31.250    -25.840     19.940
      9.214    122.580     69.310     91.810     28.770    -23.970     19.380
      9.286    124.470     67.340     93.280     31.720    -25.110     21.160
      9.357    126.470     65.490     94.780     30.130    -23.860     20.940
      9.429    128.380     63.750     96.150     26.920    -24.860     20.020
      9.500    130.250     62.140     97.460     24.010    -19.850     23.210
      9.571    132.200     60.830     98.830     26.970    -15.500     21.640
      9.643    134.340     59.740    100.320     28.590    -13.070     23.830
      9.714    136.660     58.760    102.100     30.500    -13.760     24.520
      9.786    139.110     57.840    104.060     33.390    -15.160     26.640
      9.857    141.580     56.890    106.130     33.250    -16.900     25.180
      9.929    144.100     55.860    108.330     35.980    -19.880     30.730
     10.000    146.520     54.710    110.640     35.490    -21.290     31.830
     10.071    149.360     52.760    112.330     33.160    -21.560     33.260
     10.143    151.770     51.270    114.650     32.840    -19.650     33.110
     10.214    154.140     51.010    116.980     33.110    -18.800     32.080
     10.286    156.770     49.450    119.030     34.400    -18.210     30.350
     10.357    159.490     47.800    121.150     36.590    -21.490     28.300
     10.429    162.190     46.020    123.420     33.750    -23.880     28.340
     10.500    164.720     44.080    125.580     31.780    -29.040     22.450
     10.571    167.110     42.000    127.570     31.710    -32.880     20.140
     10.643    169.300     39.950    129.370     31.030    -30.260     18.620
     10.714    171.280     38.070    130.940     29.700    -25.870     19.150
     10.786    173.070     36.270    132.310     27.220    -23.990     17.410
     10.857    174.700     34.490    133.520     24.390    -21.060     18.060
     10.929    176.300     32.910    134.700     27.940    -16.940     22.150
     11.000    178.030     31.530    136.100     30.750    -14.980     26.230
     11.071    179.920     30.200    137.540     28.700    -17.480     25.410
     11.143    181.850     28.780    139.060     28.210    -20.330     28.380
     11.214    183.960     27.450    140.690     28.660    -17.850     30.410
     11.286    186.140     26.280    142.330     28.960    -17.200     26.680
     11.357    188.420     25.010    143.990     29.680    -23.180     26.640
     11.429    190.740     23.610    145.810     30.180    -21.590     28.040
