#         t          x          y          z         vx         vy         vz
      0.000   -377.690    611.410   -284.590     72.540    -71.050     48.190
      0.071   -372.470    606.240   -281.080     72.490    -75.060     51.550
      0.143   -367.100    600.860   -277.590     75.390    -77.260     50.550
      0.214   -361.670    595.350   -273.990     74.470    -78.230     52.880
      0.286   -356.430    589.830   -270.440     71.950    -80.330     52.190
      0.357   -350.860    583.870   -266.950     70.260    -82.430     52.360
      0.429   -346.340    578.340   -263.590     67.640    -81.300     45.510
      0.500   -341.600    572.570   -260.520     69.290    -83.010     43.500
      0.571   -336.870    566.730   -257.400     70.900    -82.660     41.190
      0.643   -331.850    560.200   -253.590     63.170    -84.780     45.660
      0.714   -327.740    554.300   -250.310     57.910    -82.300     43.950
      0.786   -324.160    548.880   -247.540     53.650    -79.940     40.900
      0.857   -320.550    543.060   -244.270     44.560    -74.570     41.350
      0.929   -317.380    537.850   -241.360     46.060    -70.980     36.970
      1.000   -314.240    532.810   -238.260     47.220    -67.970     40.270
      1.071   -310.860    527.800   -234.920     42.350    -64.260     46.560
      1.143   -307.830    523.220   -231.330     45.420    -62.980     46.880
      1.214   -303.810    518.510   -227.950     48.650    -63.370     54.040
      1.286   -300.370    514.010   -223.920     48.270    -61.160     57.780
      1.357   -296.780    509.650   -219.760     51.080    -61.650     60.350
      1.429   -293.070    505.260   -215.420     52.700    -62.400     63.990
      1.500   -289.060    500.880   -211.000     59.080    -61.810     62.470
      1.571   -284.770    496.380   -206.480     60.460    -63.070     63.890
      1.643   -280.220    491.740   -201.840     64.870    -64.280     65.310
      1.714   -275.550    486.940   -196.970     68.390    -67.820     66.970
      1.786   -270.660    482.090   -192.050     74.740    -69.230     68.010
      1.857   -265.520    477.210   -187.160     75.370    -69.410     70.110
      1.929   -260.020    472.200   -182.240     79.720    -73.760     71.720
      2.000   -253.720    466.730   -177.220     78.310    -74.910     73.490
      2.071   -248.010    461.340   -172.090     82.760    -79.520     74.840
      2.143   -242.260    455.740   -166.870     82.460    -81.750     76.430
      2.214   -236.320    450.080   -161.710     87.580    -82.620     73.420
      2.286   -230.040    444.380   -156.680     91.690    -85.480     73.970
      2.357   -223.610    438.320   -151.500     93.960    -87.880     72.520
      2.429   -217.260    431.840   -146.230     89.670    -93.460     74.700
      2.500   -211.240    425.080   -140.420     89.590    -94.390     73.370
      2.571   -204.750    418.250   -135.120     91.890    -96.340     72.800
      2.643   -198.150    411.300   -129.840     92.660    -97.610     72.540
      2.714   -191.440    404.260   -124.540     94.340    -98.700     72.920
      2.786   -184.620    396.990   -119.100     93.970   -102.500     76.580
      2.857   -177.780    389.590   -113.560     94.100   -103.540     77.700
      2.929   -170.840    381.970   -107.940     95.170   -105.940     76.680
      3.000   -163.780    374.090   -102.260     97.470   -112.340     80.100
      3.071   -156.670    365.900    -96.380     99.880   -114.490     83.440
      3.143   -149.370    357.510    -90.410    101.650   -118.440     83.420
      3.214   -142.010    348.820    -84.360    103.560   -122.720     84.570
      3.286   -134.520    339.750    -78.180    106.140   -129.920     87.120
      3.357   -127.550    330.790    -71.810    112.970   -135.780     87.360
      3.429   -119.400    320.700    -65.390    115.310   -143.100     84.000
      3.500   -110.930    309.780    -59.110    118.440   -157.630     86.700
      3.571   -102.140    297.960    -53.090    119.610   -172.310     90.480
      3.643    -93.430    285.450    -47.030    123.630   -183.310     86.290
      3.714    -84.390    271.740    -41.220    125.700   -200.910     81.080
      3.786    -75.300    256.450    -35.690    125.780   -227.730     72.990
      3.857    -66.430    239.090    -30.940    124.790   -260.990     53.220
      3.929    -58.500    219.120    -28.190     96.310   -299.700     12.460
      4.000    -53.520    197.850    -30.020     44.100   -285.940    -53.160
      4.071    -51.670    179.690    -34.980     18.560   -231.040    -68.200
      4.143    -50.650    165.370    -40.000     22.430   -187.440    -58.750
      4.214    -49.490    153.330    -43.630     25.610   -159.320    -42.540
      4.286    -48.050    142.930    -46.050     26.810   -135.920    -25.800
      4.357    -46.710    133.940    -47.200     25.460   -115.190    -16.840
      4.429    -45.570    126.330    -47.890     22.060    -99.780     -5.130
      4.500    -44.450    119.900    -48.190     22.910    -83.160     -0.370
      4.571    -43.260    114.450    -48.170     19.160    -68.650      4.550
      4.643    -42.200    110.020    -47.660     17.420    -54.350      8.140
      4.714    -40.850    105.510    -45.990     13.630    -45.440     14.310
      4.786    -39.780    102.880    -45.070     14.840    -31.650     14.110
      4.857    -38.710    101.030    -44.000     16.220    -21.280     17.170
      4.929    -37.530     99.880    -42.820     17.500    -12.140     18.610
