#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.001    -98.628   -119.816   -127.687    -28.360    173.993     93.314
      0.002    -98.657   -119.642   -127.593    -28.289    174.066     93.398
      0.003    -98.685   -119.468   -127.500    -28.218    174.140     93.482
      0.004    -98.713   -119.294   -127.406    -28.147    174.213     93.566
      0.005    -98.741   -119.119   -127.313    -28.076    174.286     93.650
      0.006    -98.769   -118.945   -127.219    -28.005    174.360     93.734
      0.007    -98.797   -118.771   -127.125    -27.934    174.433     93.819
      0.008    -98.825   -118.596   -127.031    -27.862    174.507     93.903
      0.009    -98.853   -118.422   -126.938    -27.791    174.580     93.988
      0.010    -98.881   -118.247   -126.843    -27.719    174.654     94.072
      0.011    -98.908   -118.072   -126.749    -27.647    174.727     94.157
      0.012    -98.936   -117.898   -126.655    -27.575    174.801     94.242
      0.013    -98.964   -117.723   -126.561    -27.503    174.874     94.327
      0.014    -98.991   -117.548   -126.467    -27.430    174.948     94.412
      0.015    -99.018   -117.373   -126.372    -27.358    175.021     94.497
      0.016    -99.046   -117.198   -126.278    -27.285    175.095     94.583
      0.017    -99.073   -117.023   -126.183    -27.212    175.169     94.668
      0.018    -99.100   -116.848   -126.088    -27.139    175.242     94.753
      0.019    -99.127   -116.672   -125.993    -27.066    175.316     94.839
      0.020    -99.154   -116.497   -125.899    -26.993    175.390     94.925
      0.021    -99.181   -116.321   -125.804    -26.919    175.464     95.011
      0.022    -99.208   -116.146   -125.708    -26.846    175.537     95.096
      0.023    -99.235   -115.970   -125.613    -26.772    175.611     95.182
      0.024    -99.262   -115.795   -125.518    -26.698    175.685     95.268
      0.025    -99.288   -115.619   -125.423    -26.624    175.759     95.355
      0.026    -99.315   -115.443   -125.327    -26.550    175.833     95.441
      0.027    -99.341   -115.267   -125.232    -26.475    175.907     95.527
      0.028    -99.368   -115.091   -125.136    -26.401    175.981     95.614
      0.029    -99.394   -114.915   -125.041    -26.326    176.055     95.700
      0.030    -99.421   -114.739   -124.945    -26.251    176.129     95.787
      0.031    -99.447   -114.563   -124.849    -26.176    176.203     95.874
      0.032    -99.473   -114.387   -124.753    -26.101    176.277     95.961
      0.033    -99.499   -114.211   -124.657    -26.026    176.351     96.048
      0.034    -99.525   -114.034   -124.561    -25.950    176.425     96.135
      0.035    -99.551   -113.858   -124.465    -25.874    176.499     96.222
      0.036    -99.577   -113.681   -124.369    -25.798    176.573     96.309
      0.037    -99.602   -113.505   -124.272    -25.722    176.647     96.397
      0.038    -99.628   -113.328   -124.176    -25.646    176.721     96.484
      0.039    -99.654   -113.151   -124.079    -25.570    176.796     96.572
      0.040    -99.679   -112.974   -123.983    -25.493    176.870     96.660
      0.041    -99.705   -112.797   -123.886    -25.417    176.944     96.747
      0.042    -99.730   -112.620   -123.789    -25.340    177.018     96.835
      0.043    -99.755   -112.443   -123.692    -25.263    177.093     96.923
      0.044    -99.781   -112.266   -123.595    -25.186    177.167     97.012
      0.045    -99.806   -112.089   -123.498    -25.108    177.241     97.100
      0.046    -99.831   -111.912   -123.401    -25.031    177.316     97.188
      0.047    -99.856   -111.734   -123.304    -24.953    177.390     97.277
      0.048    -99.881   -111.557   -123.207    -24.875    177.464     97.365
      0.049    -99.906   -111.380   -123.109    -24.797    177.539     97.454
      0.050    -99.930   -111.202   -123.012    -24.719    177.613     97.543
      0.051    -99.955   -111.024   -122.914    -24.641    177.688     97.631
      0.052    -99.980   -110.847   -122.816    -24.562    177.762     97.720
      0.053   -100.004   -110.669   -122.719    -24.484    177.837     97.810
      0.054   -100.029   -110.491   -122.621    -24.405    177.911     97.899
      0.055   -100.053   -110.313   -122.523    -24.326    177.986     97.988
      0.056   -100.077   -110.135   -122.425    -24.247    178.061     98.077
      0.057   -100.101   -109.957   -122.327    -24.167    178.135     98.167
      0.058   -100.126   -109.779   -122.229    -24.088    178.210     98.257
      0.059   -100.150   -109.600   -122.130    -24.008    178.285     98.346
      0.060   -100.174   -109.422   -122.032    -23.928    178.359     98.436
      0.061   -100.198   -109.244   -121.933    -23.848    178.434     98.526
      0.062   -100.221   -109.065   -121.835    -23.768    178.509     98.616
      0.063   -100.245   -108.887   -121.736    -23.688    178.583     98.706
      0.064   -100.269   -108.708   -121.637    -23.607    178.658     98.796
      0.065   -100.292   -108.529   -121.539    -23.526    178.733     98.887
      0.066   -100.316   -108.351   -121.440    -23.445    178.808     98.977
      0.067   -100.339   -108.172   -121.341    -23.364    178.883     99.068
      0.068   -100.362   -107.993   -121.241    -23.283    178.957     99.159
      0.069   -100.386   -107.814   -121.142    -23.201    179.032     99.249
      0.070   -100.409   -107.635   -121.043    -23.120    179.107     99.340
      0.071   -100.432   -107.456   -120.944    -23.038    179.182     99.431
      0.072   -100.455   -107.276   -120.844    -22.956    179.257     99.522
      0.073   -100.478   -107.097   -120.745    -22.874    179.332     99.614
      0.074   -100.501   -106.918   -120.645    -22.791    179.407     99.705
      0.075   -100.523   -106.738   -120.545    -22.709    179.482     99.796
      0.076   -100.546   -106.559   -120.445    -22.626    179.557     99.888
      0.077   -100.569   -106.379   -120.345    -22.543    179.632     99.980
      0.078   -100.591   -106.199   -120.245    -22.460    179.707    100.072
      0.079   -100.614   -106.020   -120.145    -22.377    179.782    100.163
      0.080   -100.636   -105.840   -120.045    -22.293    179.857    100.255
      0.081   -100.658   -105.660   -119.945    -22.210    179.932    100.348
      0.082   -100.680   -105.480   -119.844    -22.126    180.007    100.440
      0.083   -100.702   -105.300   -119.744    -22.042    180.083    100.532
      0.084   -100.724   -105.120   -119.643    -21.958    180.158    100.625
      0.085   -100.746   -104.940   -119.543    -21.873    180.233    100.717
      0.086   -100.768   -104.759   -119.442    -21.789    180.308    100.810
      0.087   -100.790   -104.579   -119.341    -21.704    180.383    100.903
      0.088   -100.812   -104.399   -119.240    -21.619    180.458    100.996
      0.089   -100.833   -104.218   -119.139    -21.534    180.534    101.089
      0.090   -100.855   -104.038   -119.038    -21.449    180.609    101.182
      0.091   -100.876   -103.857   -118.937    -21.363    180.684    101.275
      0.092   -100.897   -103.676   -118.835    -21.278    180.760    101.368
      0.093   -100.919   -103.495   -118.734    -21.192    180.835    101.462
      0.094   -100.940   -103.315   -118.632    -21.106    180.910    101.555
      0.095   -100.961   -103.134   -118.531    -21.020    180.986    101.649
      0.096   -100.982   -102.953   -118.429    -20.933    181.061    101.743
      0.097   -101.003   -102.771   -118.327    -20.846    181.136    101.837
      0.098   -101.024   -102.590   -118.225    -20.760    181.212    101.931
      0.099   -101.044   -102.409   -118.123    -20.673    181.287    102.025
      0.100   -101.065   -102.228   -118.021    -20.585    181.362    102.119
      0.101   -101.085   -102.046   -117.919    -20.498    181.438    102.213
      0.102   -101.106   -101.865   -117.817    -20.410    181.513    102.308
      0.103   -101.126   -101.683   -117.715    -20.323    181.589    102.403
      0.104   -101.147   -101.502   -117.612    -20.235    181.664    102.497
      0.105   -101.167   -101.320   -117.510    -20.146    181.740    102.592
